CODE,NAME,WKT,AUTHORITY,MAJORAXIS,REVFLATTENING,SOURCE,DESCRIPTION
airy,Airy 1830                     ,Airy 1830,,6377563.396,299.3249646,default,
mod_airy,Modified airy                 ,Airy Modified 1849,,6377340.189,299.3249646,default,
andrae,Andrae 1876 (Den. Iclnd.),,,6377104.43,300,proj4,
APL4.9,Appl. Physics. 1965,,,6378137,298.25,Proj4,
ELLAT,Ats77,Average Terrestrial System 1977,,6378135,298.257,default,
aust_SA,Australian national           ,Australian National Spheroid,,6378160,298.25,default,
bess_nam,Bessel 1841(namibia)          ,Bessel 1841 (Namibia),,6377483.865,299.1528128,default,
bessel,Bessel 1841                   ,Bessel 1841,,6377397.155,299.1528128,default,
ELLBJ,Bessel 1841 (japan by law),Bessel 1841 (Japan),,6377397.155,299.1528154,default,
ELLBO,Bonnenl,BonneNL,,6376950.4,309.6463779,default,
clrk66,Clarke 1866                   ,Clarke 1866,EPSG:7008,6378206.4,294.9786982,default,
clrk80 ,Clarke 1880                   ,Clarke 1880 (RGS);Clarke_1880_RGS,EPSG:7012,6378249.145,293.465,default,
ELLCI,Clarke 1880 (ign),Clarke 1880 (IGN),,6378249.2,293.466,default,
CPM,Comm. des Poids et Mesures 1799,,,6375738.7,334.29,proj4,
ELLCG,Cgms (meteosat),CGMS,,6378169,295.4880659,default,
delmbr,Delambre 1810 (Belgium),,,6376428,311.5,proj4,
ELLDM,Du plessis modified,Plessis 1817,,6376523,308.64,default,
ELLDR,Du plessis reconstituted,Plessis 1817 Reconstituted,,6376523.994,308.624807,default,
engelis,Engelis 1985,,,6378136.05,298.2566,proj4,
evrst30,Everest (india 1830)          ,Everest 1830 (1937 Adjustment),,6377276.345,300.8017,default,
evrstSS,Everest (e. malasia brunei)  ,Everest 1830 (1967 Definition),,6377298.556,300.8017,default,
evrst56,Everest 1956 (india)          ,Everest 1830 (1956 Definition),,6377301.243,300.8017,default,
evrst69,Everest 1969 (west malasia)   ,Everest 1830 (RSO 1969),,6377295.664,300.8017,default,
evrst48,Everest 1948(w.mals. & sing.) ,Modified Everest 1948,,6377304.063,300.8017,default,
ELLEF,Everest (pakistan)            ,Everest 1830 (1975 Definition),,6377309.613,300.8017,default,
fschr60,Fischer 1960,Fischer 1960,,6378166,298.3000008,default,
fschr68,Fischer 1968,Fischer 1968,,6378150,298.3000008,default,
fschr60m,Mod. fischer 1960(south asia) ,Fischer Modified,,6378155,298.3,default,
helmert,Helmert 1906                  ,Helmert 1906,,6378200,298.3,default,
hough,Hough 1960                    ,Hough 1960,,6378270,297,default,
ELLID,Indonesian 1974               ,Indonesian National Spheroid,,6378160,298.247,default,
intl ,International 1924            ,International 1924 ,,6378388,297,default,
IAU76,IAU 1976,,,6378140,298.257,proj4,
krass,Krassovsky 1940               ,Krassovsky 1940 ,EPSG:7024,6378245,298.3,default,
kaula,Kaula 1961,,,6378163,298.24,proj4,
MERIT,MERIT 1983,,,6378137,298.257,proj4,
NWL9D,Naval Weapons Lab. 1965,,,6378145,298.25,proj4,
plessis,Plessis 1817 (France),,,6376523,308.6409971,proj4,
GRS67,Grs 67,GRS 1967,,6378160,298.2471662,default,
GRS80,Grs 80                        ,GRS 1980,,6378137,298.2572221,default,
SGS85,Sgs 85,SGS 85,,6378136,298.257,default,
ELLSA,South american 1969           ,GRS 1967 (SAD69) ,,6378160,298.25,default,
WGS60,Wgs 60,WGS 60,,6378165,298.3,default,
WGS66,Wgs 66,WGS 66,,6378145,298.2499981,default,
WGS72,Wgs 72                        ,WGS 72,,6378135,298.26,default,
WGS84,Wgs 84                        ,WGS 84,,6378137,298.2572236,default,
sphere,Normal Sphere (r=6370997),,,6370997,0,default,
